Español,English
abandonado,abandoned
abandonarse,succumb
abandono,abandonment
abatido,downcast
abatimiento,dejection
abatirse,dejected
abochornado,embarrassed
abochornarse,embarrassed
abominado,abhorred
abominar,abominate
aborrecer,abhor
aborrecido,abhorred
aborrecimiento,abhorrence
abrumado,overwhelmed
abrumarse,overwhelmed
aburrido,bored
aburrimiento,boredom
aburrirse,bore
acalorado,heated
acalorarse,flare
aceptación,acceptance
aceptado,accepted
aceptar,accept
aclamado,acclaimed
aclamar,acclaim
acobardarse,intimidated
acogedor,welcoming
acogido,welcomed
acomplejado,self-conscious
acomplejarse,inhibit
acongojado,anguished
acongojarse,anguished
acosado,harassed
acosar,harass
acoso,harassment
activación,activation
activado,activated
activarse,activated
activo,active
admiración,admiration
admirado,admired
admirar,admire
adoración,adoration
adorado,adored
adorar,adore
afán,eagerness
afanado,eager
afanarse,strive
afectación,affectation
afectado,affected
afectarse,affected
afecto,affection
afectuoso,affectionate
aflicción,affliction
afligido,afflicted
afortunado,fortunate
afrenta,affront
agitación,agitation
agitado,agitated
agitarse,agitated
agobiarse,overwhelm
agobio,overwhelm
agonía,agony
agonizante,agonizing
agonizar,agonize
agotado,exhausted
agotamiento,exhaustion
agotarse,exhausted
agradable,pleasant
agradar,please
agradecer,thank
agradecido,grateful
agradecimiento,gratitude
agrado,pleasure
agravado,aggravated
agravar,aggravate
agraviado,wronged
agravio,grievance
agredir,assault
agresión,aggression
agresivo,aggressive
airado,irate
airar,anger
aislado,isolated
aislamiento,isolation
aislarse,isolate
alarma,alarm
alarmado,alarmed
alarmante,alarming
alarmarse,alarmed
alborotado,agitated
alborotarse,agitated
alboroto,commotion
alborozado,elated
alborozarse,elated
alborozo,elation
alegrarse,glad
alegre,happy
alegría,joy
alentado,encouraged
alentador,encouraging
alentar,encourage
alerta,alert
alertado,alerted
alertarse,alert
alicaído,downhearted
aliento,encouragement
aliviado,relieved
aliviarse,relieve
alivio,relief
alteración,alteration
alterado,upset
alterarse,upset
alucinación,hallucination
alucinado,amazed
alucinar,hallucinate
amado,beloved
amar,love
amargado,embittered
amargarse,embittered
amargura,bitterness
amedrentado,frightened
amedrentamiento,intimidation
amedrentarse,frightened
amenaza,threat
amenazado,threatened
amenazante,threatening
amenazar,threaten
amigable,friendly
amistad,friendship
amistoso,friendly
amor,love
amorosa,loving
amparado,protected
amparo,shelter
